STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING,LATITUDE,LONGITUDE,DETAILURL
843,CARDERO STREET,39,Derik Ventures Ltd,3,49.289041879999999,-123.133284090000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=843&street=CARDERO STREET
1225,CARDERO STREET,169,331750 BC Ltd,5,49.285409700000002,-123.139577849999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1225&street=CARDERO STREET
309,CARRALL STREET,41,PHS Community Services Society,6,49.282237320000000,-123.104605550000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=309&street=CARRALL STREET
8667,CARTIER STREET,13,Silver Star Holdings Inc,1,49.207734230000000,-123.138135340000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8667&street=CARTIER STREET
930,CHILCO STREET,29,EMV Holdings Corp,1,49.292027529999999,-123.140043100000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=930&street=CHILCO STREET
2308,CLARK DRIVE,5,Armando Ferreira,3,49.264044470000002,-123.077086490000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2308&street=CLARK DRIVE
303,COLUMBIA STREET,79,Seven Estate Ltd,1,49.282070089999998,-123.102544200000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=303&street=COLUMBIA STREET
351,COLUMBIA STREET,27,Persepolis Investments Inc,3,49.281679300000000,-123.102461700000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=351&street=COLUMBIA STREET
2615,COLUMBIA STREET,13,673854 BC Ltd,2,49.261977889999997,-123.109842210000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2615&street=COLUMBIA STREET
810,COMMERCIAL DIVERSION NORTH,7,John Engleman,2,49.277302339999999,-123.069337379999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=810&street=COMMERCIAL DIVERSION NORTH
633,COMMERCIAL DRIVE,6,631 Commercial Drive Holdings Ltd,1,49.278845400000002,-123.070747440000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=633&street=COMMERCIAL DRIVE
943,COMMERCIAL DRIVE,5,Dionyssios Galanopoulos,2,49.275922319999999,-123.069874639999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=943&street=COMMERCIAL DRIVE
1389,COMMERCIAL DRIVE,16,Tom Wong,5,49.272443279999997,-123.069979910000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1389&street=COMMERCIAL DRIVE
1435,COMMERCIAL DRIVE,6,Jack Eng,1,49.271722769999997,-123.069980970000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1435&street=COMMERCIAL DRIVE
3607,COMMERCIAL STREET,10,John Manzi Nalatino Manzi & Robert Manzi,1,49.252331560000002,-123.068462510000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3607&street=COMMERCIAL STREET
1075,COMOX STREET,87,Andrew Priatel & John Priatel,1,49.281463610000003,-123.128015260000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1075&street=COMOX STREET
1717,COMOX STREET,23,Daysgoneby.org Land Stewards Ltd,1,49.288035700000002,-123.137963810000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1717&street=COMOX STREET
1450,CREEKSIDE DRIVE,39,Creekside Ventures Limited,1,49.271455590000002,-123.139846420000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1450&street=CREEKSIDE DRIVE
238,DAVIE STREET,72,Brightside Community Homes Foundation,5,49.273756360000000,-123.123707720000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=238&street=DAVIE STREET
676,DAVIE STREET,8,Yip C Lai & Cheuk Y Lew,1,49.276850830000001,-123.126053050000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=676&street=DAVIE STREET
1116,DAVIE STREET,6,Wing Chan Investments Ltd,3,49.280507489999998,-123.131982910000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1116&street=DAVIE STREET
1180,DAVIE STREET,5,Pacific Coast Tobacco Co Ltd,1,49.281294029999998,-123.133216280000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1180&street=DAVIE STREET
809,DENMAN STREET,8,Lawrence Wong,1,49.291471129999998,-123.135899310000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=809&street=DENMAN STREET
1515,DISCOVERY STREET,282,Hostelling International Canada B C Region,3,49.273105160000000,-123.205488960000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1515&street=DISCOVERY STREET
