NODE_NUMBER,LAT,LONG,BLOCK_NUMBER
8,49.2651055273334,-123.078417583738,62
13,49.2652828312202,-123.077752891211,62
1,49.2652851250164,-123.079209585321,62
14,49.2650928282521,-123.077762255425,62
2,49.2424728111965,-123.066569201344,47
1,49.2428374214589,-123.066698630599,47
3,49.2420527856923,-123.066728348415,47
4,49.2416519701749,-123.066582276173,47
1,49.2638942987905,-123.038119450009,81
4,49.2637886810855,-123.037419352648,81
2,49.2637928408582,-123.038824927023,81
3,49.2638913248209,-123.036663444397,81
3,49.2633706613907,-123.038063642364,81
7,49.2633719129635,-123.036951447804,81
5,49.2633724180133,-123.037505697306,81
1,49.2633717523024,-123.038946881953,81
2,49.2633732929936,-123.038483018217,81
5,49.2818450952285,-123.116914997763,05
2,49.2813153311994,-123.116489461978,05
6,49.2817103564864,-123.117110391796,05
4,49.2815044011942,-123.116792109687,05
0.5,49.2813806938445,-123.116199926424,05
0.6,49.2812361012016,-123.116400659695,05
1,49.2814229865137,-123.116274108494,05
3,49.2816366067227,-123.116592790982,05
5,49.2129968934504,-123.02821070205,84
2,49.2131562265911,-123.029225005404,84
1,49.2131991945453,-123.029517891509,84
4,49.2130194205196,-123.028601350099,84
3,49.2130480251165,-123.028963964181,84
4,49.2165204703244,-123.030375867074,73
1,49.2170238834293,-123.02978319968,73
2,49.2168041676901,-123.029876483989,73
7,49.2159721379232,-123.030059681266,73
3,49.2167323132172,-123.030188628982,73
5,49.2163741729202,-123.030334816308,73
6,49.2161083271799,-123.030229182403,73
1,49.2846914377331,-123.103885528174,50
2,49.2845644955553,-123.103978090753,50
6,49.2844562473492,-123.102640263955,50
4,49.2843985241758,-123.103317818839,50
3,49.2845552276866,-123.103248940262,50
6,49.2844757241695,-123.100519535698,51
1,49.2848132879389,-123.099644919112,51
10,49.2846835079333,-123.099579590332,51
4,49.2843903370472,-123.101040887195,51
8,49.284574628287,-123.100071375872,51
2,49.2844262624071,-123.101494064019,51
2,49.2819105939115,-123.079074953563,03
1,49.2812363738666,-123.079252289314,03
3,49.2757787835065,-123.102338952128,10
1,49.2762417458298,-123.102787026705,10
4,49.2760548231849,-123.102384768158,10
4,49.2750715007852,-123.102196821311,XX
2,49.2754007404781,-123.102270434113,XX
8,49.2755612014837,-123.101888201858,10
10,49.2752308702613,-123.101807646448,10
6,49.2758305791125,-123.101950787771,10
7,49.2752472025095,-123.10217792356,10
5,49.2755770946301,-123.102256308386,10
12,49.2751334806143,-123.101785806936,10
9,49.2750973919777,-123.102142515945,10
2,49.2762558277601,-123.102640335861,10
7,49.2837929921681,-123.031499476232,83
32,49.2836791457901,-123.032035633883,83
1,49.283864295494,-123.032383181345,83
18,49.2852737547682,-123.033186660466,83
24,49.2842979937258,-123.033439383669,83
8,49.2863701581273,-123.032839689921,83
4,49.2868987612894,-123.033178647878,83
16,49.285576791583,-123.033097662896,83
10,49.2860652929352,-123.032937806101,83
12,49.2859922247287,-123.033033917052,83
3,49.2838422163428,-123.032143348916,83
20,49.2849554368355,-123.033300768922,83
22,49.2846207779771,-123.033403011973,83
5,49.2837826990366,-123.031739287357,83
26,49.2839948299527,-123.03321933912,83
14,49.2857142562161,-123.033127470304,83
6,49.2866896554321,-123.032846970143,83
28,49.2838215956519,-123.032860272831,83
2,49.2870364728409,-123.033691478678,83
30,49.2837036708838,-123.032407482773,83
34,49.28364036384,-123.031788682922,83
1,49.2140800182458,-123.027977028374,77
2,49.213875441339,-123.02800267195,77
2,49.2133362416662,-123.027872392804,78
3,49.2130831257433,-123.027974351281,78
1,49.2135622301184,-123.027909757623,78
2,49.2068118045912,-123.024887885768,86
3,49.2068471056956,-123.024279384662,86
1,49.2067581790686,-123.025648972801,86
2,49.2048234414142,-123.03660726144,83
1,49.2048953890242,-123.036283421857,83
4,49.2047558375146,-123.036106361964,83
10,49.2718030101306,-123.10176680235,14
12,49.2715384980315,-123.101909060262,14
14,49.2712816225182,-123.102051483622,14
17,49.2714666631689,-123.102325509216,14
19,49.271189865122,-123.102485580984,14
15,49.2717401312704,-123.102187465033,14
27,49.2702791011485,-123.102749496214,14
23,49.2708249469588,-123.102659104793,14
21,49.2710026828574,-123.102598507087,14
18,49.2705611222947,-123.102349960985,14
25,49.27052271899,-123.102728172649,14
3,49.2679984524938,-123.093354948533,55
4,49.2677866559368,-123.09342741532,55
5,49.2679529013596,-123.092952604673,55
6,49.2678720606298,-123.093188207119,55
7,49.2680358104723,-123.092380135758,55
8,49.2679124642143,-123.092677296215,55
9,49.2680338520906,-123.09185791349,55
10,49.2679387219411,-123.092147773773,55
11,49.2679935217112,-123.091228306665,55
12,49.2679343635801,-123.091519883955,55
1,49.2680018621592,-123.093654463113,55
2,49.2678217811824,-123.093706356267,55
14,49.2678608887026,-123.091021490202,55
16,49.2062351370082,-123.02711380267,85
11,49.2064170336199,-123.026870944267,85
22,49.2056103885531,-123.025567971083,85
25,49.2055193587261,-123.023612338912,85
20,49.2057744154311,-123.025981464441,85
2,49.20531042048,-123.023280148138,87
17,49.2058350588856,-123.025428247418,85
21,49.2056254380882,-123.024571424081,85
15,49.2059548063141,-123.025784086316,85
26,49.2053681903479,-123.024572834204,85
24,49.2054725458319,-123.025070173307,85
13,49.2061391926918,-123.026219889397,85
19,49.2057162012008,-123.024987966282,85
18,49.2060712546376,-123.026676455112,85
1,49.2055343443482,-123.023215619411,87
28,49.2053242124474,-123.024145843665,85
11,49.2063092097884,-123.026664996076,85
32,49.2053293538438,-123.023642959001,85
30,49.2054476292621,-123.023704972074,85
4,49.2054002919603,-123.023148424395,87
3,49.2347720258431,-123.157834366227,56
1,49.2352196374169,-123.157815516965,56
3,49.2867852141698,-123.052158665613,75
